Data,Hora,Ano,Mês,Site,Manchete,Polaridade
16/09/2005,08:30:00,2005,setembro,Só Notícias,IML de Sorriso será inaugurado hoje à tarde,2
18/01/2006,18:35:00,2006,janeiro,Só Notícias,Secretaria vai cortar ponto de policiais e escrivães em greve,0
19/01/2006,07:50:00,2006,janeiro,Só Notícias,Governo vai cortar ponto de policiais que não voltarem ao trabalho,0
09/02/2006,17:42:00,2006,fevereiro,Só Notícias,Exumação do corpo do juiz Leopoldino do Amaral confirmada para sábado,2
23/03/2006,17:47:00,2006,março,Só Notícias,Exame de DNA confirma ser de juiz Leopoldino o corpo enterrado em Poconé,2
08/09/2006,15:03:00,2006,setembro,Só Notícias,"Após perícia, presidente de associação em Sinop processará aposentada",2
15/09/2006,08:17:00,2006,setembro,Só Notícias,Polícia de Sinop e Colíder recebem viaturas na próxima semana,1
01/10/2006,08:39:00,2006,outubro,Só Notícias,Jato Legacy continua na Serra do Caximbo para perícia,0
20/10/2006,17:29:00,2006,outubro,Só Notícias,Corpo de homem que morreu no início da semana foi localizado hoje em Sinop,2
03/01/2007,09:34:00,2007,janeiro,Só Notícias,Lucas R. Verde implanta projeto de proteção a fauna e meio ambiente,1
23/01/2007,08:11:00,2007,janeiro,Só Notícias,Moto é furtada de pátio do instituto de criminalística de Sinop,0
08/02/2007,11:27:00,2007,fevereiro,Só Notícias,Empresários do setor de vestuário de MT vão a Europa participar de feira,1
08/02/2007,16:10:00,2007,fevereiro,Só Notícias,Polícia Civil deflagra operações contra tráfico de drogras em Mato Grosso,1
15/02/2007,08:11:00,2007,fevereiro,Só Notícias,Segurança tem orçamento de R$ 501 milhões para ano passado,1
19/03/2007,16:02:00,2007,março,Só Notícias,"Homicídios no Estado caíram 20% nos últimos 4 anos, aponta USP",2
05/04/2007,07:13:00,2007,abril,Só Notícias,Nova Mutum poderá ter unidade da Politec para “desafogar” Sinop,2
04/06/2007,17:10:00,2007,junho,Só Notícias,Sejusp e Sema assinam cooperação para o combate aos crimes ambientais,2
21/06/2007,10:04:00,2007,junho,Só Notícias,Sejusp diz que novo sistema reduz gastos de combustível com viaturas,2
22/06/2007,10:36:00,2007,junho,Só Notícias,Perícia de Sinop não descarta incêndio criminoso em madeireira,2
05/07/2007,16:14:00,2007,julho,Só Notícias,"Integração entre Sema e polícia fortalece combate aos crimes ambientais, diz secretário",2
06/07/2007,09:02:00,2007,julho,Só Notícias,Dois peritos criminais mato-grossense vão integrar a Força de Segurança no PAN,2
23/07/2007,17:11:00,2007,julho,Só Notícias,Inscrições de teste para contratação de agentes prisionais começam amanhã,1
27/07/2007,07:55:00,2007,julho,Só Notícias,Carro de Sinop pode ter placas dubladas em Salvador,2
05/08/2007,09:25:00,2007,agosto,Só Notícias,"Em meio a crise aérea, Gaudenzi assume comando da Infraero",1
03/10/2007,18:05:00,2007,outubro,Só Notícias,"Mato Grosso recebe R$ 4,5 milhões para segurança",1
06/10/2007,07:42:00,2007,outubro,Só Notícias,Polícia de Sinop receberá novas viaturas,1
11/10/2007,14:36:00,2007,outubro,Só Notícias,Viaturas policiais locadas para cidades pólos serão entregues esta tarde,1
17/10/2007,17:10:00,2007,outubro,Só Notícias,Mato Grosso terá laboratório de DNA,2
24/10/2007,09:43:00,2007,outubro,Só Notícias,Envio de 12 viaturas para Sinop deve atrasar,0
29/10/2007,13:51:00,2007,outubro,Só Notícias,Tangará da Serra discute medidas de segurança pública,2
10/11/2007,08:25:00,2007,novembro,Só Notícias,Sinop: recuperação da pista do aeroporto fica pronta em 30 dias,1
15/12/2007,08:09:00,2007,dezembro,Só Notícias,Soldado e tenente são indiciados por simulação desastrosa em Rondonópolis,1
17/12/2007,11:22:00,2007,dezembro,Só Notícias,Falta de médicos legistas no Nortão sobrecarrega IML Sinop,0
18/12/2007,17:24:00,2007,dezembro,Só Notícias,Unemat fortalece parcerias com universidade de Madri,1
05/01/2008,08:04:00,2008,janeiro,Só Notícias,Sistema permitirá identificação de criminosos por digitais em Mato Grosso,2
11/01/2008,10:01:00,2008,janeiro,Só Notícias,Rondonópolis: surgem novas provas da morte de servidores da UFMT,1
15/01/2008,08:15:00,2008,janeiro,Só Notícias,Rondonópolis: soldado é denunciado por homicídio doloso em simulação,1
20/01/2008,17:13:00,2008,janeiro,Só Notícias,Presa em MT quadrilha com conexão nos morros do Rio,1
25/01/2008,07:32:00,2008,janeiro,Só Notícias,Mato Grosso terá ‘disque denúncia’ para combater criminalidade,2
22/02/2008,10:18:00,2008,fevereiro,Só Notícias,Politec contratará 64 novos peritos e médicos legistas,2
03/03/2008,13:40:00,2008,março,Só Notícias,Autorizada construção de IML em Alta Floresta,2
10/03/2008,19:40:00,2008,março,Só Notícias,Novo secretário assume e quer agregar trabalho da PF às ações do Estado,2
11/03/2008,17:31:00,2008,março,Só Notícias,Familiares não reconhecem corpo de 2ª vítima de naufrágio em MT,0
12/03/2008,13:26:00,2008,março,Só Notícias,Encontrado corpo de 6ª vítima de tragédia com chalana em MT,2
15/03/2008,07:56:00,2008,março,Só Notícias,Confirmada construção de IML em Lucas R. Verde,2
18/03/2008,10:17:00,2008,março,Só Notícias,Vereadora cobra permanência do IML em Sorriso,0
08/04/2008,17:26:00,2008,abril,Só Notícias,Sinop: empresário é preso acusado de furto de energia e agiotagem,1
09/05/2008,21:26:00,2008,maio,Só Notícias,Empresário é assassinado a tiros em Cuiabá,1
28/05/2008,13:13:00,2008,maio,Só Notícias,Definidas ações de combate a crimes ambientais em Mato Grosso,2
17/07/2008,10:01:00,2008,julho,Só Notícias,Peritos que identificaram vítimas de acidente áereo no Nortão serão homenageados,2
31/07/2008,10:11:00,2008,julho,Só Notícias,Sinop: laudo da morte de pedreiro espancado por PM não foi concluído,0
01/08/2008,07:10:00,2008,agosto,Só Notícias,"Lucas R.Verde: quadrilha especializada levou R$ 40 mil de banco, diz delegado",1
06/08/2008,10:40:00,2008,agosto,Só Notícias,Nortão: laudo da sabotagem em torres de energia deve sair na próxima semana,2
22/08/2008,10:42:00,2008,agosto,Só Notícias,Lucas R.Verde: perícia deve concluir em setembro laudo sobre furto de R$40 mil em banco,2
25/08/2008,14:03:00,2008,agosto,Só Notícias,Lucas: laudo sobre tentativa de sabotagem em torres do linhão sai em setembro,2
27/08/2008,07:15:00,2008,agosto,Só Notícias,Obras da Politec em Alta Floresta sem previsão de sair do papel,0
04/09/2008,17:07:00,2008,setembro,Só Notícias,Autoridades em MT abordam uso da inteligência para combate ao crime organizado,2
08/09/2008,08:32:00,2008,setembro,Só Notícias,Polícia Civil de MT trabalha com apenas 30% de sua capacidade,0
08/09/2008,09:27:00,2008,setembro,Só Notícias,Concluído laudo sobre furto de R$40 mil em banco de Lucas R.Verde,2
08/09/2008,11:05:00,2008,setembro,Só Notícias,Lucas R.Verde: perícia começa apurar causa de acidente com 2 mortos,2
17/09/2008,11:18:00,2008,setembro,Só Notícias,Nortão: delegado diz que advogado foi executado,1
18/09/2008,07:06:00,2008,setembro,Só Notícias,Moradores de Nova Ubiratã protestam hoje contra assassinato de advogado,1
18/09/2008,08:29:00,2008,setembro,Só Notícias,Nortão: laudo deve apontar que advogado foi asfixiado,2
19/09/2008,15:50:00,2008,setembro,Só Notícias,Causas de incêndio em prédio de INSS em Cuiabá serão apuradas,2
25/09/2008,14:22:00,2008,setembro,Só Notícias,Polícia Civil descobre depósito com peças e veículos suspeitos de roubo em Mato Grosso,1
27/09/2008,09:49:00,2008,setembro,Só Notícias,Registro deve substituir carteira de identidade em Mato Grosso,1
28/09/2008,11:15:00,2008,setembro,Só Notícias,Mais de 45 mil documentos de identidade emitidos em MT até junho,2
30/09/2008,08:50:00,2008,setembro,Só Notícias,Lucas R.Verde: polícia encerra investigação sobre furto de R$ 40 mil em banco,1
02/10/2008,14:15:00,2008,outubro,Só Notícias,Nortão: prefeitura ainda não fechou balanço do prejuízo com incêndio,1
08/10/2008,10:46:00,2008,outubro,Só Notícias,Perícia descarta colisão em acidente que deixou um morto em Sinop,2
22/10/2008,09:45:00,2008,outubro,Só Notícias,Nortão: candidato preso acusado de extorsão será recambiado,1
23/10/2008,10:11:00,2008,outubro,Só Notícias,Colíder: corpo de mulher é encontrado em matagal,1
23/10/2008,14:19:00,2008,outubro,Só Notícias,Polícia identifica mulher encontrada morta em Colíder,2
03/11/2008,16:30:00,2008,novembro,Só Notícias,Sorriso: polícia sem pistas de autores de duplo assassinato em chácara,1
04/11/2008,09:05:00,2008,novembro,Só Notícias,Laudo apontará circunstâncias de duplo homicídio em Sorriso,2
05/11/2008,07:06:00,2008,novembro,Só Notícias,Alta Floresta: polícia espera exame para saber se homem executado era boliviano,0
07/11/2008,00:08:00,2008,novembro,Só Notícias,Sorriso: polícia recebe laudo de duplo homicídio,2
19/11/2008,13:18:00,2008,novembro,Só Notícias,Policiais e técnicos em Mato Grosso são qualificados para combaterem lavagem dinheiro,2
28/11/2008,07:22:00,2008,novembro,Só Notícias,Nortão: MP espera perícia para denunciar candidato por extorsão a prefeito,2
03/12/2008,16:12:00,2008,dezembro,Só Notícias,Alta Floresta: sede da Politec será construída em 2009,2
05/12/2008,17:10:00,2008,dezembro,Só Notícias,Cerca de mil CD’s e DVD’s piratas apreendidos em Mato Grosso durante operação,1
09/12/2008,08:15:00,2008,dezembro,Só Notícias,Delegacia municipal de Sinop terá ‘nova sede’ ainda este mês,1
21/12/2008,09:00:00,2008,dezembro,Só Notícias,Carros adulterados são apreendidos em Mato Grosso,1
25/12/2008,08:43:00,2008,dezembro,Só Notícias,Laudo aponta que índios levaram 3 armas de delegacia invadida em Mato Grosso,2
